,RFID,Date,Weight,stationname
390,942 000027254615,04-05-18,230,Killara
391,942 000027254647,04-05-18,151,Killara
392,942 000027254653,04-05-18,156,Killara
393,942 000027254669,04-05-18,180,Killara
394,942 000027254701,04-05-18,194,Killara
395,942 000027254706,04-05-18,146,Killara
396,942 000027254717,04-05-18,174,Killara
397,942 000027254739,04-05-18,179,Killara
398,942 000027254792,11-04-19,109.5,Killara
399,942 000027254817,04-05-18,162,Killara
400,942 000027254830,04-05-18,200,Killara
401,942 000027254854,04-05-18,185,Killara
402,942 000027254870,04-05-18,176,Killara
403,942 000027254871,04-05-18,170,Killara
404,942 000027254908,04-05-18,197,Killara
405,942 000027254916,04-05-18,162,Killara
406,942 000027254969,04-05-18,172,Killara
407,942 000027254998,04-05-18,196,Killara
408,942 000027255053,04-05-18,155,Killara
409,942 000027255118,18-03-19,106,Killara
410,942 000027255154,04-05-18,198,Killara
411,942 000027255186,04-05-18,192,Killara
412,942 000027255202,04-05-18,180,Killara
413,942 000027255205,04-05-18,189,Killara
414,942 000027255208,04-05-18,186,Killara
415,942 000027255293,04-05-18,157,Killara
416,942 000027255302,04-05-18,204,Killara
417,942 000027255381,04-05-18,180,Killara
418,942 000027255398,25-04-18,479,Killara
419,942 000027255414,04-05-18,182,Killara
420,942 000027255419,04-05-18,181,Killara
421,942 000027708773,04-05-18,131,Killara
422,942 000027708789,04-05-18,126,Killara
423,942 000027708794,04-05-18,130,Killara
424,942 000027708818,04-05-18,154,Killara
425,942 000027708999,04-05-18,127,Killara
426,942 000027709194,04-05-18,152,Killara
427,942 000027709387,04-05-18,166,Killara
428,942 000027709442,04-05-18,160,Killara
429,942 000027709688,04-05-18,136,Killara
430,942 000027709921,04-05-18,122,Killara
431,942 000027710066,04-05-18,129,Killara
432,942 000027710068,04-05-18,136,Killara
433,942 000027710676,04-05-18,139,Killara
434,942 000029329798,25-03-19,159,Killara
435,942 000029329812,25-03-19,165,Killara
436,942 000029329826,18-04-19,114.5,Killara
437,942 000029357874,04-05-18,199,Killara
438,942 000029357878,25-03-19,143.5,Killara
439,942 000029357879,30-05-19,439,Killara
440,942 000029357886,04-05-18,114,Killara
441,942 000029357887,08-03-19,120.5,Killara
442,942 000029357893,08-03-19,141.5,Killara
443,942 000029357894,18-04-19,122.5,Killara
444,942 000029357896,11-04-19,145.5,Killara
445,942 000029357897,18-03-19,128.5,Killara
446,942 000029357899,18-03-19,112.5,Killara
447,942 000029357900,04-05-18,146,Killara
448,942 000029357906,18-04-19,107.5,Killara
449,942 000029357908,11-04-19,111,Killara
450,942 000029357910,11-04-19,154,Killara
451,942 000029357911,08-03-19,167,Killara
452,942 000029357922,02-03-19,124.5,Killara
453,942 000029357926,02-03-19,144,Killara
454,942 000029357929,18-03-19,140,Killara
455,942 000029357938,18-03-19,110.5,Killara
456,942 000029357942,18-03-19,116,Killara
457,942 000029357943,08-03-19,126.5,Killara
458,942 000029357946,08-03-19,182.5,Killara
459,942 000029357951,11-04-19,147.5,Killara
460,942 000029357953,02-03-19,112,Killara
461,942 000029357954,04-05-18,302,Killara
462,942 000029357954,30-05-19,566,Killara
463,942 000029357956,18-03-19,155,Killara
464,942 000029357957,02-03-19,148,Killara
465,942 000029357959,08-03-19,172,Killara
466,942 000029357960,04-05-18,92,Killara
467,942 000029357962,18-03-19,140.5,Killara
468,942 000029357963,04-05-18,181,Killara
469,942 000029357965,02-03-19,173,Killara
470,942 000029357966,18-03-19,124.5,Killara
471,942 000029357969,04-05-18,154,Killara
472,942 000029357970,04-05-18,170,Killara
473,942 000029357974,11-04-19,174,Killara
474,942 000029357979,25-03-19,166.5,Killara
475,942 000029357980,02-03-19,169.5,Killara
476,942 000029357985,11-04-19,147,Killara
477,942 000029357986,04-05-18,205,Killara
478,942 000029357987,08-03-19,121.5,Killara
479,942 000029357989,25-03-19,125.5,Killara
480,942 000029357990,02-03-19,136.5,Killara
481,942 000029357997,08-03-19,207,Killara
482,942 000029358000,18-03-19,117,Killara
483,942 000029358006,11-04-19,136.5,Killara
484,942 000029358007,11-04-19,157,Killara
485,942 000029358008,02-03-19,127,Killara
486,942 000029358010,18-04-19,125,Killara
487,942 000029358014,04-05-18,109,Killara
488,942 000029358015,18-03-19,113.5,Killara
489,942 000029358017,18-03-19,170.5,Killara
490,942 000029358022,08-03-19,147.5,Killara
491,942 000029358027,11-04-19,134,Killara
492,942 000029358029,11-04-19,127,Killara
493,942 000029358030,02-03-19,129.5,Killara
494,942 000029358033,11-04-19,121,Killara
495,942 000029358035,04-05-18,124,Killara
496,942 000029358036,11-04-19,132.5,Killara
497,942 000029358038,04-05-18,122,Killara
498,942 000029358040,08-03-19,142,Killara
499,942 000029358041,04-05-18,216,Killara
500,942 000029358042,11-04-19,156,Killara
501,942 000029358044,18-03-19,83.5,Killara
502,942 000029358045,08-03-19,210,Killara
503,942 000029358053,18-03-19,120,Killara
504,942 000029358054,04-05-18,114,Killara
505,942 000029358055,04-05-18,123,Killara
506,942 000029358060,02-03-19,96.5,Killara
507,942 000029358062,18-03-19,140,Killara
508,942 000029358067,11-04-19,175.5,Killara
509,942 000029358068,18-03-19,151,Killara
510,942 000029358070,11-04-19,136,Killara
511,942 000029358071,02-03-19,159.5,Killara
512,942 000029358073,11-04-19,156,Killara
513,942 000029358074,11-04-19,126.5,Killara
514,942 000029358082,18-03-19,136.5,Killara
515,942 000029358084,11-04-19,152,Killara
516,942 000029358087,18-03-19,129.5,Killara
517,942 000029358089,04-05-18,138,Killara
518,942 000029358094,04-05-18,170,Killara
519,942 000029358099,04-05-18,201,Killara
520,942 000029358101,18-03-19,105,Killara
521,942 000029358102,18-03-19,121.5,Killara
522,942 000029358106,08-03-19,126,Killara
523,942 000029358107,04-05-18,116,Killara
524,942 000029358108,04-05-18,106,Killara
525,942 000029358112,08-03-19,147.5,Killara
526,942 000029358114,04-05-18,109,Killara
527,942 000029358115,04-05-18,156,Killara
528,942 000029358117,18-03-19,105,Killara
529,942 000029358118,11-04-19,118,Killara
530,942 000029358120,08-03-19,153.5,Killara
531,942 000029358123,11-04-19,96.5,Killara
532,942 000029358130,11-04-19,160.5,Killara
533,942 000029358131,18-04-19,93,Killara
534,942 000029358132,02-03-19,119.5,Killara
535,942 000029358138,11-04-19,127,Killara
536,942 000029358139,18-03-19,140,Killara
537,942 000029358142,02-03-19,93,Killara
538,942 000029358143,18-03-19,87.5,Killara
539,942 000029358144,02-03-19,194.5,Killara
540,942 000029358150,04-05-18,400,Killara
541,942 000029358151,11-04-19,148,Killara
542,942 000029358156,18-03-19,109.5,Killara
543,942 000029358160,13-02-19,296,Killara
544,942 000029358163,04-05-18,156,Killara
545,942 000029358165,11-04-19,144,Killara
546,942 000029358167,18-03-19,101,Killara
547,942 000029358169,25-03-19,156.5,Killara
548,942 000029358170,11-04-19,141,Killara
549,942 000029358171,18-03-19,92.5,Killara
550,942 000029358174,11-04-19,134,Killara
551,942 000029358186,11-04-19,151,Killara
552,942 000029358189,11-04-19,148.5,Killara
553,942 000029358193,02-03-19,112,Killara
554,942 000029358195,11-04-19,124.5,Killara
555,942 000029358200,04-05-18,236,Killara
556,942 000029358203,02-03-19,153.5,Killara
557,942 000029358205,11-04-19,117.5,Killara
558,942 000029358213,18-03-19,157,Killara
559,942 000029358217,11-04-19,145,Killara
560,942 000029358219,11-04-19,133.5,Killara
561,942 000029358225,11-04-19,107.5,Killara
562,942 000029358228,11-04-19,121,Killara
563,942 000029358237,08-03-19,168,Killara
564,942 000029358238,04-05-18,185,Killara
565,942 000029358241,08-03-19,149.5,Killara
566,942 000029358243,18-03-19,118,Killara
567,942 000029358244,11-04-19,139.5,Killara
568,942 000029358247,08-03-19,130,Killara
569,942 000029358250,18-03-19,119.5,Killara
570,942 000029358254,02-03-19,141,Killara
571,942 000029358257,02-03-19,120.5,Killara
572,942 000029358261,11-04-19,206,Killara
573,942 000029358263,18-03-19,148,Killara
574,942 000029358264,18-03-19,140.5,Killara
575,942 000029358277,04-05-18,209,Killara
576,942 000029358279,04-05-18,141,Killara
577,942 000029358280,18-03-19,130,Killara
578,942 000029358294,04-05-18,116,Killara
579,942 000029358297,18-03-19,138.5,Killara
580,942 000029358301,18-03-19,143,Killara
581,942 000029358304,11-04-19,141,Killara
582,942 000029358307,18-03-19,128,Killara
583,942 000029358309,04-05-18,155,Killara
584,942 000029358310,18-03-19,112.5,Killara
585,942 000029358314,18-04-19,130,Killara
586,942 000029358318,08-03-19,170,Killara
587,942 000029358321,11-04-19,134,Killara
588,942 000029358323,04-05-18,139,Killara
589,942 000029358327,18-03-19,127,Killara
