"","RFID","Weight","Date","Location","cattle_id"
"157","964 001026898200",266.76,2021-08-17 00:10:28,"LaEmilia",NA
"158","964 001026898213",275.22,2021-08-17 00:10:28,"LaEmilia",NA
"159","964 001026898257",168.78,2021-08-17 00:12:14,"LaEmilia",NA
"160","964 001026898229",311.57,2021-08-17 00:12:31,"LaEmilia",NA
"161","964 001026898230",284.74,2021-08-17 00:12:40,"LaEmilia",NA
"162","964 001026898231",274.77,2021-08-17 00:12:51,"LaEmilia",NA
"163","964 001026898225",348.54,2021-08-17 00:14:07,"LaEmilia",NA
"164","964 001026898244",298.88,2021-08-17 00:14:07,"LaEmilia",NA
"165","964 001026898220",333.59,2021-08-17 00:14:13,"LaEmilia",NA
"166","964 001026898215",270.31,2021-08-17 00:14:43,"LaEmilia",NA
"167","964 001026898226",337.54,2021-08-17 00:15:55,"LaEmilia",NA
"168","964 001026898227",290.32,2021-08-17 00:16:27,"LaEmilia",NA
"169","964 001026898221",338.93,2021-08-17 00:22:18,"LaEmilia",NA
"170","964 001026898240",558.25,2021-08-17 02:36:42,"LaEmilia",NA
"171","964 001026898209",256.8,2021-08-17 02:36:47,"LaEmilia",NA
"172","964 001026898235",323.97,2021-08-17 02:36:47,"LaEmilia",NA
"173","964 001026898203",200.14,2021-08-17 02:36:50,"LaEmilia",NA
"174","964 001026898233",431.33,2021-08-17 02:36:54,"LaEmilia",NA
"175","964 001026898234",481.62,2021-08-17 02:37:01,"LaEmilia",NA
"176","964 001026898250",349.52,2021-08-17 02:37:01,"LaEmilia",NA
"177","964 001026898242",273.12,2021-08-17 02:37:01,"LaEmilia",NA
"178","964 001026898202",341.43,2021-08-17 02:37:31,"LaEmilia",NA
"179","964 001026898252",339.42,2021-08-17 02:37:44,"LaEmilia",NA
"180","964 001026898210",334.85,2021-08-17 02:37:44,"LaEmilia",NA
"181","964 001026898217",311.08,2021-08-17 02:37:44,"LaEmilia",NA
"182","964 001026898253",313.5,2021-08-17 02:38:11,"LaEmilia",NA
"183","964 001026898224",316.6,2021-08-17 02:38:11,"LaEmilia",NA
"184","964 001026898241",274.45,2021-08-17 02:38:11,"LaEmilia",NA
"185","964 001026898236",282.82,2021-08-17 02:38:11,"LaEmilia",NA
"186","964 001026898228",296.92,2021-08-17 02:38:15,"LaEmilia",NA
"187","964 001026898255",221.28,2021-08-17 02:38:34,"LaEmilia",NA
"188","964 001026898223",322.68,2021-08-17 02:38:34,"LaEmilia",NA
"189","964 001026898251",383.81,2021-08-17 02:38:40,"LaEmilia",NA
"190","964 001026898211",246.41,2021-08-17 02:39:10,"LaEmilia",NA
"191","964 001026898206",229.33,2021-08-17 02:39:10,"LaEmilia",NA
"192","964 001026898212",279.74,2021-08-17 04:56:10,"LaEmilia",NA
"193","964 001026898204",331.53,2021-08-17 04:56:16,"LaEmilia",NA
"194","964 001026898216",322.91,2021-08-17 04:56:23,"LaEmilia",NA
"195","964 001026898254",242.84,2021-08-17 04:57:35,"LaEmilia",NA
"196","964 001026898201",283.92,2021-08-17 04:58:14,"LaEmilia",NA
"197","964 001026898215",268.58,2021-08-17 04:58:31,"LaEmilia",NA
"198","964 001026898238",308.46,2021-08-17 04:59:53,"LaEmilia",NA
"199","964 001026898209",364.13,2021-08-17 05:09:15,"LaEmilia",NA
"200","964 001026898207",291.65,2021-08-17 05:46:10,"LaEmilia",NA
"201","964 001026898243",319.95,2021-08-17 06:13:20,"LaEmilia",NA
"202","964 001026898205",302.09,2021-08-17 07:34:19,"LaEmilia",NA
"203","964 001026898221",350.23,2021-08-17 12:19:10,"LaEmilia",NA
"204","964 001026898222",293.69,2021-08-17 22:52:59,"LaEmilia",NA
"205","964 001026898211",123.9,2021-08-17 22:57:52,"LaEmilia",NA
"206","964 001026898214",327.7,2021-08-17 22:58:22,"LaEmilia",NA
"207","964 001026898224",467.24,2021-08-17 22:58:22,"LaEmilia",NA
"208","964 001026898217",332.02,2021-08-17 22:58:22,"LaEmilia",NA
"209","964 001026898244",310.59,2021-08-17 22:58:22,"LaEmilia",NA
"210","964 001026898227",301.15,2021-08-17 22:58:22,"LaEmilia",NA
"211","964 001026898250",315.88,2021-08-17 22:58:22,"LaEmilia",NA
"212","964 001026898230",297.88,2021-08-17 22:58:22,"LaEmilia",NA
"213","964 001026898237",301.46,2021-08-17 22:58:22,"LaEmilia",NA
"214","964 001026898236",338.45,2021-08-17 22:58:22,"LaEmilia",NA
"215","964 001026898229",507.16,2021-08-17 22:58:22,"LaEmilia",NA
"216","964 001026898239",292.94,2021-08-17 22:58:22,"LaEmilia",NA
"217","964 001026898209",372.52,2021-08-17 22:58:22,"LaEmilia",NA
"218","964 001026898202",128.92,2021-08-17 22:58:22,"LaEmilia",NA
"219","964 001026898227",305.18,2021-08-17 23:09:29,"LaEmilia",NA
"220","964 001026898218",358.75,2021-08-18 00:08:39,"LaEmilia",NA
"221","964 001026898207",293.44,2021-08-18 00:08:50,"LaEmilia",NA
"222","964 001026898213",270.26,2021-08-18 00:10:02,"LaEmilia",NA
"223","964 001026898204",322.68,2021-08-18 00:10:07,"LaEmilia",NA
"224","964 001026898206",224.9,2021-08-18 00:10:16,"LaEmilia",NA
"225","964 001026898225",349.82,2021-08-18 00:16:50,"LaEmilia",NA
"226","964 001026898251",374.82,2021-08-18 00:17:12,"LaEmilia",NA
"227","964 001026898228",294.47,2021-08-18 00:25:17,"LaEmilia",NA
"228","964 001026898231",279.77,2021-08-18 00:48:04,"LaEmilia",NA
"229","964 001026898235",265.65,2021-08-18 00:48:04,"LaEmilia",NA
"230","964 001026898242",259.26,2021-08-18 02:09:13,"LaEmilia",NA
"231","964 001026898240",0,2021-08-18 03:45:38,"LaEmilia",NA
"232","964 001026898208",0,2021-08-18 03:45:40,"LaEmilia",NA
"233","964 001026898203",237.6,2021-08-18 03:45:46,"LaEmilia",NA
"234","964 001026898210",335.81,2021-08-18 03:45:55,"LaEmilia",NA
"235","964 001026898204",337.79,2021-08-18 03:45:55,"LaEmilia",NA
"236","964 001026898201",302.7,2021-08-18 03:45:55,"LaEmilia",NA
"237","964 001026898212",435.78,2021-08-18 03:45:55,"LaEmilia",NA
"238","964 001026898200",0,2021-08-18 03:45:56,"LaEmilia",NA
"239","964 001026898253",304.11,2021-08-18 03:50:59,"LaEmilia",NA
"240","964 001026898223",322.15,2021-08-18 03:51:18,"LaEmilia",NA
"241","964 001026898216",324.59,2021-08-18 03:53:14,"LaEmilia",NA
"242","964 001026898217",316.23,2021-08-18 04:56:39,"LaEmilia",NA
"243","964 001026898230",290.25,2021-08-18 04:56:39,"LaEmilia",NA
"244","964 001026898209",343.02,2021-08-18 04:56:39,"LaEmilia",NA
"245","964 001026898205",293.42,2021-08-18 04:57:57,"LaEmilia",NA
"246","964 001026898241",269.54,2021-08-18 04:58:06,"LaEmilia",NA
"247","964 001026898221",360.1,2021-08-18 06:05:37,"LaEmilia",NA
"248","964 001026898206",229.24,2021-08-18 06:05:43,"LaEmilia",NA
"249","964 001026898256",281.75,2021-08-18 06:17:18,"LaEmilia",NA
"250","964 001026898244",328.33,2021-08-18 06:17:18,"LaEmilia",NA
"251","964 001026898252",345.3,2021-08-18 06:17:24,"LaEmilia",NA
"252","964 001026898255",205.29,2021-08-18 06:41:37,"LaEmilia",NA
"253","964 001026898236",320.59,2021-08-18 12:09:26,"LaEmilia",NA
"254","964 001026898217",312.77,2021-08-18 23:07:56,"LaEmilia",NA
"255","964 001026898242",266.23,2021-08-18 23:07:56,"LaEmilia",NA
"256","964 001026898209",195.3,2021-08-18 23:07:56,"LaEmilia",NA
"257","964 001026898237",317.65,2021-08-18 23:07:56,"LaEmilia",NA
"258","964 001026898235",263.21,2021-08-18 23:07:56,"LaEmilia",NA
"259","964 001026898240",315.62,2021-08-18 23:45:36,"LaEmilia",NA
"260","964 001026898211",140.43,2021-08-18 23:46:16,"LaEmilia",NA
"261","964 001026898207",299.77,2021-08-18 23:46:20,"LaEmilia",NA
"262","964 001026898239",281.53,2021-08-18 23:46:26,"LaEmilia",NA
"263","964 001026898216",322.17,2021-08-18 23:48:29,"LaEmilia",NA
"264","964 001026898257",184.99,2021-08-18 23:49:12,"LaEmilia",NA
"265","964 001026898254",246.58,2021-08-18 23:49:12,"LaEmilia",NA
"266","964 001026898255",269.19,2021-08-18 23:49:12,"LaEmilia",NA
"267","964 001026898250",302.76,2021-08-18 23:49:12,"LaEmilia",NA
"268","964 001026898224",418.58,2021-08-18 23:49:12,"LaEmilia",NA
"269","964 001026898227",296.36,2021-08-18 23:49:12,"LaEmilia",NA
"270","964 001026898229",327.77,2021-08-18 23:49:12,"LaEmilia",NA
"271","964 001026898204",330.93,2021-08-18 23:49:12,"LaEmilia",NA
