"","RFID","Weight","Date","Location","cattle_id"
"84","964 001030932084",244.28,2021-06-17 05:56:05,"latijereta","60dd085323670000fc004979"
"85","964 001030932013",278.13,2021-06-17 05:56:05,"latijereta","60dd084823670000fc004932"
"86","964 001030932188",209.78,2021-06-17 05:56:47,"latijereta","60dd086623670000fc0049e1"
"87","964 001030932043",236.61,2021-06-17 05:56:47,"latijereta","60dd084c23670000fc004950"
"88","964 001030932214",228.8,2021-06-17 05:57:03,"latijereta","60dd086d23670000fc0049fb"
"89","964 001030932150",331.66,2021-06-17 05:58:37,"latijereta","60dd085f23670000fc0049bb"
"90","964 001030932026",217.79,2021-06-17 05:58:37,"latijereta","60dd084923670000fc00493f"
"91","964 001030932135",221.84,2021-06-17 05:58:56,"latijereta","60dd085d23670000fc0049ac"
"92","964 001030932171",268.02,2021-06-17 05:59:04,"latijereta","60dd086423670000fc0049d0"
"93","964 001030932028",244.11,2021-06-17 05:59:16,"latijereta","60dd084923670000fc004941"
"94","964 001030932036",267.86,2021-06-17 06:01:35,"latijereta","60dd084a23670000fc004949"
"95","964 001030932147",137.26,2021-06-17 06:03:07,"latijereta","60dd085f23670000fc0049b8"
"96","964 001030932100",147.85,2021-06-17 06:03:07,"latijereta","60dd085523670000fc004989"
"97","964 001030932006",142.22,2021-06-17 06:03:07,"latijereta","60dd084723670000fc00492b"
"98","964 001030932064",261.89,2021-06-17 06:04:27,"latijereta","60dd085023670000fc004965"
"99","964 001030932028",245.06,2021-06-17 06:06:41,"latijereta","60dd084923670000fc004941"
"100","964 001030932002",284.7,2021-06-17 06:09:17,"latijereta","60dd084623670000fc004927"
"101","964 001030932103",218.72,2021-06-17 06:14:30,"latijereta","60dd085623670000fc00498c"
"102","964 001030932040",229.18,2021-06-17 06:14:30,"latijereta","60dd084b23670000fc00494d"
"103","964 001030932057",269.75,2021-06-17 06:14:34,"latijereta","60dd084f23670000fc00495e"
"104","964 001030932010",232.38,2021-06-17 06:14:54,"latijereta","60dd084723670000fc00492f"
"105","964 001030932119",237.18,2021-06-17 06:15:11,"latijereta","60dd085b23670000fc00499c"
"106","964 001030932096",236.78,2021-06-17 06:15:20,"latijereta","60dd085523670000fc004985"
"107","964 001030932012",378.52,2021-06-17 06:15:44,"latijereta","60dd084723670000fc004931"
"108","964 001030932197",374.23,2021-06-17 06:15:44,"latijereta","60dd086823670000fc0049ea"
"109","964 001030932211",241.38,2021-06-17 06:15:44,"latijereta","60dd086c23670000fc0049f8"
"110","964 001030932203",231.3,2021-06-17 06:15:51,"latijereta","60dd086923670000fc0049f0"
