"","RFID","Weight","Date","Location","cattle_id"
"4603","964 001030068797",391.72,2021-03-18 21:41:22,"LaFlorida","5ffd2d21070200004c001d64"
"4604","964 001030068796",485.79,2021-03-18 21:43:33,"LaFlorida","5ffd2d21070200004c001d66"
"4605","964 001030068814",412.79,2021-03-18 21:47:07,"LaFlorida","5ffd2d1a070200004c001d32"
"4606","964 001030068783",461.57,2021-03-18 21:47:59,"LaFlorida","5ffd2d24070200004c001d7e"
"4607","964 001030068792",485.16,2021-03-18 21:48:12,"LaFlorida","5ffd2d23070200004c001d78"
"4608","964 001030068763",428.36,2021-03-18 21:48:31,"LaFlorida","5ffd2d20070200004c001d60"
"4609","964 001030068781",500.5,2021-03-18 21:50:00,"LaFlorida","5ffd2d24070200004c001d7f"
"4610","964 001030068775",457.64,2021-03-18 21:50:39,"LaFlorida","5ffd2d23070200004c001d77"
"4611","964 001030068838",470.32,2021-03-18 21:50:46,"LaFlorida","5ffd2d21070200004c001d68"
"4612","964 001030068762",457.33,2021-03-18 21:51:23,"LaFlorida","5ffd2d20070200004c001d5d"
"4613","964 001030068848",461.52,2021-03-18 21:52:23,"LaFlorida","5ffd2d21070200004c001d6b"
"4614","964 001030068820",484.55,2021-03-18 21:53:56,"LaFlorida","5ffd2d22070200004c001d72"
"4615","964 001030068793",482.29,2021-03-18 22:14:59,"LaFlorida","5ffd2d23070200004c001d73"
"4616","964 001030068779",496.79,2021-03-18 22:21:48,"LaFlorida","5ffd2d22070200004c001d71"
"4617","964 001030068791",497.3,2021-03-18 22:32:05,"LaFlorida","5ffd2d23070200004c001d79"
"4618","964 001030068778",465.2,2021-03-18 22:32:30,"LaFlorida","5ffd2d23070200004c001d74"
"4619","964 001030068786",496.81,2021-03-18 22:32:41,"LaFlorida","5ffd2d25070200004c001d83"
"4620","964 001030068751",498.7,2021-03-18 22:32:48,"LaFlorida","5ffd2d1e070200004c001d4e"
"4621","964 001030068805",517.14,2021-03-18 22:33:07,"LaFlorida","5ffd2d1b070200004c001d3a"
"4622","964 001030068816",483.75,2021-03-18 22:34:18,"LaFlorida","5ffd2d20070200004c001d5e"
"4623","964 001030068785",464.26,2021-03-18 22:34:48,"LaFlorida","5ffd2d25070200004c001d85"
"4624","964 001030068772",474.65,2021-03-18 22:47:52,"LaFlorida","5ffd2d1f070200004c001d56"
"4625","964 001030068819",422.31,2021-03-18 22:55:10,"LaFlorida","5ffd2d1f070200004c001d59"
"4626","964 001030068826",533.04,2021-03-18 22:55:10,"LaFlorida","5ffd2d1e070200004c001d52"
"4627","964 001030068811",425.17,2021-03-18 22:57:28,"LaFlorida","5ffd2d1a070200004c001d36"
"4628","964 001030068799",544.4,2021-03-18 22:58:08,"LaFlorida","5ffd2d20070200004c001d63"
"4629","964 001030068839",546.2,2021-03-18 22:58:25,"LaFlorida","5ffd2d21070200004c001d67"
"4630","964 001030068798",476.69,2021-03-18 22:58:25,"LaFlorida","5ffd2d21070200004c001d65"
"4631","964 001030068825",516.1,2021-03-18 22:59:52,"LaFlorida","5ffd2d1f070200004c001d57"
"4632","964 001030068808",516.13,2021-03-18 23:00:48,"LaFlorida","5ffd2d1b070200004c001d38"
"4633","964 001030068784",485.5,2021-03-18 23:04:06,"LaFlorida","5ffd2d24070200004c001d7c"
"4634","964 001030068781",526.32,2021-03-18 23:04:36,"LaFlorida","5ffd2d24070200004c001d7f"
"4635","964 001030068806",471.27,2021-03-18 23:06:17,"LaFlorida","5ffd2d1a070200004c001d37"
"4636","964 001030068782",565.26,2021-03-18 23:07:02,"LaFlorida","5ffd2d24070200004c001d80"
"4637","964 001030068795",507.24,2021-03-18 23:09:30,"LaFlorida","5ffd2d20070200004c001d62"
"4638","964 001030068835",455.48,2021-03-18 23:10:34,"LaFlorida","5ffd2d24070200004c001d7b"
"4639","964 001030068767",422.97,2021-03-18 23:11:55,"LaFlorida","5ffd2d1c070200004c001d44"
"4640","964 001030068753",500.61,2021-03-18 23:13:58,"LaFlorida",NA
"4641","964 001030068843",459.89,2021-03-18 23:43:48,"LaFlorida","5ffd2d1d070200004c001d4c"
"4642","964 001030068829",485.43,2021-03-18 23:49:49,"LaFlorida","5ffd2d1d070200004c001d49"
"4643","964 001030068763",459.89,2021-03-19 00:14:33,"LaFlorida","5ffd2d20070200004c001d60"
"4644","964 001030068783",484,2021-03-19 00:17:28,"LaFlorida","5ffd2d24070200004c001d7e"
"4645","964 001030068841",486.26,2021-03-19 01:03:23,"LaFlorida","5ffd2d1d070200004c001d4a"
"4646","964 001030068794",430.95,2021-03-19 01:05:46,"LaFlorida","5ffd2d22070200004c001d70"
"4647","964 001030068800",530.56,2021-03-19 01:06:03,"LaFlorida","5ffd2d1b070200004c001d3c"
"4648","964 001030068764",467.5,2021-03-19 01:17:36,"LaFlorida","5ffd2d20070200004c001d61"
"4649","964 001030068808",541.77,2021-03-19 01:18:19,"LaFlorida","5ffd2d1b070200004c001d38"
"4650","964 001030068789",569.35,2021-03-19 01:29:17,"LaFlorida","5ffd2d24070200004c001d7d"
"4651","964 001030068790",537.28,2021-03-19 01:31:47,"LaFlorida","5ffd2d23070200004c001d7a"
"4652","964 001030068773",455.47,2021-03-19 01:40:17,"LaFlorida","5ffd2d1e070200004c001d54"
