"","RFID","Date","Weight","stationname"
"123","982 123743176530",2021-04-16,275,"Carisma"
"124","982 123743177182",2021-04-16,249,"Carisma"
"125","982 123743177068",2021-04-16,250,"Carisma"
"126","982 123743176927",2021-04-16,255,"Carisma"
"127","982 123743177773",2021-04-16,245,"Carisma"
"128","982 123743176898",2021-04-16,270,"Carisma"
"129","982 123743177375",2021-04-16,234,"Carisma"
"130","982 123743177006",2021-04-16,214,"Carisma"
"131","982 123743176748",2021-04-16,245,"Carisma"
"132","982 123743176312",2021-04-16,279,"Carisma"
"133","982 123743176771",2021-04-16,251,"Carisma"
"134","982 123743177188",2021-04-16,255,"Carisma"
"135","982 123743177024",2021-04-16,267,"Carisma"
"136","982 123743177021",2021-04-16,279,"Carisma"
"137","982 123743176575",2021-04-16,312,"Carisma"
"138","982 123743176780",2021-04-16,292,"Carisma"
"139","982 123743176517",2021-04-16,259,"Carisma"
"140","982 123743177652",2021-04-16,274,"Carisma"
"141","982 123743177027",2021-04-16,278,"Carisma"
"142","982 123743177344",2021-04-16,226,"Carisma"
"143","982 123743176521",2021-04-16,271,"Carisma"
"144","982 123743177361",2021-04-16,223,"Carisma"
"145","982 123743176341",2021-04-16,291,"Carisma"
"146","982 123743177162",2021-04-16,229,"Carisma"
"147","982 123743176518",2021-04-16,286,"Carisma"
"148","982 123743176340",2021-04-16,234,"Carisma"
"149","982 123743177034",2021-04-16,288,"Carisma"
"150","982 123743177033",2021-04-16,257,"Carisma"
"151","982 123743176567",2021-04-16,277,"Carisma"
"152","982 123743177302",2021-04-16,260,"Carisma"
"153","982 123743176345",2021-04-16,274,"Carisma"
"154","982 123743177455",2021-04-16,251,"Carisma"
"155","982 123743177384",2021-04-16,189.5,"Carisma"
"156","982 123743177016",2021-04-16,280,"Carisma"
"157","982 123743177028",2021-04-16,273,"Carisma"
"158","982 123743177902",2021-04-16,239,"Carisma"
"159","982 123743177362",2021-04-16,238,"Carisma"
"160","982 123743177642",2021-04-16,301,"Carisma"
"161","982 123743177348",2021-04-16,255,"Carisma"
"162","982 123743176761",2021-04-16,258,"Carisma"
"163","982 123743177651",2021-04-16,298,"Carisma"
"164","982 123743177331",2021-04-16,240,"Carisma"
"165","982 123743177163",2021-04-16,225,"Carisma"
"166","982 123743176579",2021-04-16,243,"Carisma"
